required_skill,course_id,course_name,institution,average_rating,review_count
Machine Learning,google-machine-learning,how google does machine learning,google cloud,4.430711610486892,801
Machine Learning,introduction-tensorflow,"introduction to tensorflow for artificial intelligence, machine learning, and deep learning",deeplearning.ai,4.6294547015886645,2329
Machine Learning,introduction-trading-machine-learning-gcp,"introduction to trading, machine learning & gcp",new york institute of finance,3.4153846153846152,130
Machine Learning,legaltech,el abogado del futuro: legaltech y la transformación digital del derecho,universidad austral,4.966666666666667,120
Machine Learning,linear-algebra-machine-learning,mathematics for machine learning: linear algebra,imperial college london,4.543050847457627,1475
Machine Learning,machine-learning,machine learning,stanford university,4.751239405085559,12506
Machine Learning,machine-learning-business-professionals,machine learning for business professionals,google cloud,4.562416107382551,745
Machine Learning,machine-learning-duke,introduction to machine learning,duke university,4.662650602409639,166
Machine Learning,machine-learning-projects,structuring machine learning projects,deeplearning.ai,4.685741535526943,4194
Machine Learning,machine-learning-with-python,machine learning with python,ibm,4.443490701001431,1398
Machine Learning,mathematics-and-python,математика и python для анализа данных,moscow institute of physics and technology,4.585597826086956,736
Machine Learning,ml-foundations,machine learning foundations: a case study approach,university of washington,4.442947368421053,2375
Machine Learning,multivariate-calculus-machine-learning,mathematics for machine learning: multivariate calculus,imperial college london,4.609477124183006,612
Machine Learning,neural-networks-deep-learning,neural networks and deep learning,deeplearning.ai,4.78019541834305,12179
Machine Learning,pca-machine-learning,mathematics for machine learning: pca,imperial college london,3.408817635270541,499
Machine Learning,practical-time-series-analysis,practical time series analysis,the state university of new york,4.439862542955327,291
Machine Learning,process-mining,process mining: data science in action,eindhoven university of technology,4.679558011049724,181
Machine Learning,python-data-analysis,introduction to data science in python,university of michigan,4.1713238662391205,4366
Machine Learning,python-machine-learning,applied machine learning in python,university of michigan,4.436274509803922,1020
Machine Learning,uol-machine-learning-for-all,machine learning for all,university of london,4.637387387387387,444
Causal-Model Approaches,crash-course-in-causality,a crash course in causality: inferring causal effects from observational data,university of pennsylvania,4.622222222222222,90
Text Mining,ai-for-medical-diagnosis,ai for medical diagnosis,deeplearning.ai,4.587982832618025,233
Text Mining,attention-models-in-nlp,natural language processing with attention models,deeplearning.ai,3.1052631578947367,19
Text Mining,classification-vector-spaces-in-nlp,natural language processing with classification and vector spaces,deeplearning.ai,4.368770764119601,301
Text Mining,introduction-tensorflow,"introduction to tensorflow for artificial intelligence, machine learning, and deep learning",deeplearning.ai,4.6294547015886645,2329
Text Mining,natural-language-processing-tensorflow,natural language processing in tensorflow,deeplearning.ai,4.190789473684211,608
Text Mining,probabilistic-models-in-nlp,natural language processing with probabilistic models,deeplearning.ai,4.533333333333333,90
Text Mining,sequence-models-in-nlp,natural language processing with sequence models,deeplearning.ai,3.875,56
Text Mining,tensorflow-sequences-time-series-and-prediction,"sequences, time series and prediction",deeplearning.ai,4.4,440
Sql,analytics-business-metrics,business metrics for data-driven companies,duke university,4.527413127413127,1295
Sql,data-science-methodology,data science methodology,ibm,4.2706359945872805,1478
Sql,data-scientists-tools,the data scientist’s toolbox,johns hopkins university,4.4407206509105,5162
Sql,database-management,database management essentials,university of colorado system,4.397674418604651,430
Sql,django-database-web-apps,web application technologies and django,university of michigan,4.626086956521739,115
Sql,excel-aplicado-negocios-avanzado,excel aplicado a los negocios (nivel avanzado),universidad austral,4.692748091603053,524
Sql,foundations-big-data-analysis-sql,foundations for big data analysis with sql,cloudera,4.802919708029197,137
Sql,gcp-exploring-preparing-data-bigquery,exploring ​and ​preparing ​your ​data with bigquery,google cloud,4.447272727272727,275
Sql,gcp-infrastructure-core-services,essential google cloud infrastructure: core services,google cloud,4.537698412698413,504
Sql,intro-sql,introduction to structured query language (sql),university of michigan,4.730831973898858,613
Sql,introduction-to-data-analytics,introduction to data analytics,ibm,4.75,16
Sql,introduction-to-software-product-management,introduction to software product management,university of alberta,4.534685165421558,937
Sql,introduction-trading-machine-learning-gcp,"introduction to trading, machine learning & gcp",new york institute of finance,3.4153846153846152,130
Sql,open-source-tools-for-data-science,tools for data science,ibm,3.911032028469751,2529
Sql,python-data,python data structures,university of michigan,4.862062121663193,10077
Sql,python-databases,using databases with python,university of michigan,4.66049096804076,2159
Sql,r-programming,r programming,johns hopkins university,4.163108454312553,3513
Sql,sas-programming-basics,getting started with sas programming,sas,4.886524822695035,282
Sql,sql-data-science,databases and sql for data science,ibm,4.300892857142857,1120
Sql,sql-for-data-science,sql for data science,"university of california, davis",4.456495098039215,1632
Big Data,big-data-essentials,"big data essentials: hdfs, mapreduce and spark rdd",yandex,3.371681415929204,113
Big Data,big-data-introduction,introduction to big data,university of california san diego,4.5324825986078885,1724
Big Data,foundations-big-data-analysis-sql,foundations for big data analysis with sql,cloudera,4.802919708029197,137
Big Data,gcp-big-data-ml-fundamentals,google cloud platform big data and machine learning fundamentals,google cloud,4.516201117318436,1790
Big Data,positive-psychology-visionary-science,positive psychology: martin e. p. seligman’s visionary science,university of pennsylvania,4.855761482675262,1241
Big Data,what-is-datascience,what is data science?,ibm,4.601100628930817,6360
Hadoop,batch-data-pipelines-gcp,building batch data pipelines on gcp,google cloud,4.134615384615385,104
Hadoop,big-data-essentials,"big data essentials: hdfs, mapreduce and spark rdd",yandex,3.371681415929204,113
Hadoop,big-data-introduction,introduction to big data,university of california san diego,4.5324825986078885,1724
Hadoop,what-is-datascience,what is data science?,ibm,4.601100628930817,6360
Apache Spark,big-data-essentials,"big data essentials: hdfs, mapreduce and spark rdd",yandex,3.371681415929204,113
Cloud Platforms,aws-fundamentals-addressing-security-risk,aws fundamentals: addressing security risk,amazon web services,4.103004291845494,233
Cloud Platforms,aws-fundamentals-going-cloud-native,aws fundamentals: going cloud-native,amazon web services,4.6386494252873565,1392
Cloud Platforms,aws-machine-learning,getting started with aws machine learning,amazon web services,4.303592120509849,863
Cloud Platforms,batch-data-pipelines-gcp,building batch data pipelines on gcp,google cloud,4.134615384615385,104
Cloud Platforms,building-modern-python-applications-on-aws,building modern python applications on aws,amazon web services,5.0,1
Cloud Platforms,business-transformation-google-cloud,business transformation with google cloud,google cloud,4.709090909090909,165
Cloud Platforms,cloud-azure-intro,getting started with azure,learnquest,4.239130434782608,46
Cloud Platforms,cloud-infrastructure-design-process,reliable google cloud infrastructure: design and process,google cloud,4.567901234567901,405
Cloud Platforms,containerized-apps-on-aws,building containerized applications on aws,amazon web services,4.216216216216216,37
Cloud Platforms,conversational-experiences-dialogflow,building conversational experiences with dialogflow,google cloud,4.13265306122449,196
